Date : 2026-05-03 15:54:37
Directory : c:\Users\ankit\Downloads\xace
Total : 395 files,  29606 codes, 10382 comments, 5760 blanks, all 45748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Rust               |        191 |     24,414 |      9,252 |      4,889 |     38,555 |
| Python             |        165 |      4,075 |      1,102 |        559 |      5,736 |
| Markdown           |         15 |      1,042 |          0 |        280 |      1,322 |
| JSON               |          2 |         33 |          0 |          2 |         35 |
| JSON with Comments |          2 |         32 |          0 |          2 |         34 |
| pip requirements   |          1 |         10 |          9 |          9 |         28 |
| C++                |          8 |          0 |          8 |          8 |         16 |
| C#                 |          4 |          0 |          4 |          4 |          8 |
| TypeScript JSX     |          7 |          0 |          7 |          7 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        395 |     29,606 |     10,382 |      5,760 |     45,748 |
| . (Files)                                                                                                              |          6 |      1,053 |          9 |        266 |      1,328 |
| adapters                                                                                                               |         12 |          0 |         12 |         12 |         24 |
| adapters\unity                                                                                                         |          4 |          0 |          4 |          4 |          8 |
| adapters\unreal                                                                                                        |          8 |          0 |          8 |          8 |         16 |
| docs                                                                                                                   |         11 |         22 |          0 |         22 |         44 |
| packages                                                                                                               |        344 |     28,489 |     10,342 |      5,436 |     44,267 |
| packages (Files)                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| packages\core                                                                                                          |         67 |     10,646 |      5,345 |      2,238 |     18,229 |
| packages\core\src                                                                                                      |         67 |     10,646 |      5,345 |      2,238 |     18,229 |
| packages\core\src (Files)                                                                                              |          4 |        352 |        232 |         79 |        663 |
| packages\core\src\assets                                                                                               |          4 |        380 |        252 |         85 |        717 |
| packages\core\src\contracts                                                                                            |          2 |        330 |        401 |        111 |        842 |
| packages\core\src\errors                                                                                               |          3 |        753 |        323 |        129 |      1,205 |
| packages\core\src\events                                                                                               |          3 |        509 |        264 |        107 |        880 |
